caseid,citizenship_status,age,sex,province,education,agegroup,citizenship
56,Canadian citizen,46.6,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
57,Canadian citizen,53.6,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
58,Canadian citizen,68.6,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
59,Canadian citizen,45.1,Male,Nova Scotia,Trade certificate or diploma,41 to 50,Canadian citizen
60,Canadian citizen,51,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
61,Canadian citizen,70.8,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
62,Canadian citizen,60.8,Female,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
63,Canadian citizen,53.1,Female,Alberta,Trade certificate or diploma,51 to 60,Canadian citizen
64,Permanent resident,34,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Permanent resident
65,Canadian citizen,72.4,Female,Nova Scotia,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
66,Canadian citizen,80,Female,Alberta,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
67,Canadian citizen,65.9,Female,Nova Scotia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
68,Canadian citizen,61.8,Female,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
69,Canadian citizen,37,Female,Manitoba,Trade certificate or diploma,31 to 40,Canadian citizen
70,Canadian citizen,58.4,Male,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
71,Other,80,Male,British Columbia,High school diploma or a high school equivalency certificate,71 to 80,Other
72,Canadian citizen,42.3,Female,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
73,Canadian citizen,44.3,Male,Ontario,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
74,Canadian citizen,26.7,Female,British Columbia,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
75,Canadian citizen,24.1,Female,New Brunswick,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
76,Canadian citizen,41.1,Male,Quebec,Trade certificate or diploma,41 to 50,Canadian citizen
77,Canadian citizen,26.1,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
78,Canadian citizen,31.5,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
79,Permanent resident,57.9,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
80,Other,15.4,Female,Ontario,Less than high school diploma or its equivalent,20 or less,Other
81,Canadian citizen,16.4,Female,Quebec,Less than high school diploma or its equivalent,20 or less,Canadian citizen
82,Canadian citizen,41.7,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
83,Other,24.9,Female,Manitoba,Less than high school diploma or its equivalent,21 to 30,Other
84,Permanent resident,54,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
85,Canadian citizen,17.1,Male,Quebec,Less than high school diploma or its equivalent,20 or less,Canadian citizen
86,Canadian citizen,63.9,Female,Ontario,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
87,Canadian citizen,57.8,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
88,Canadian citizen,74.8,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
89,Canadian citizen,41.1,Male,Nova Scotia,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
90,Canadian citizen,59.9,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
91,Permanent resident,80,Female,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Permanent resident
92,Canadian citizen,53.3,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
93,Permanent resident,35.2,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Permanent resident
94,Permanent resident,80,Male,Ontario,Trade certificate or diploma,71 to 80,Permanent resident
95,Canadian citizen,73.3,Female,Manitoba,Trade certificate or diploma,71 to 80,Canadian citizen
96,Canadian citizen,80,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
97,Canadian citizen,72.3,Female,British Columbia,Trade certificate or diploma,71 to 80,Canadian citizen
98,Canadian citizen,56.3,Female,New Brunswick,Trade certificate or diploma,51 to 60,Canadian citizen
99,Permanent resident,64.9,Female,Ontario,Trade certificate or diploma,61 to 70,Permanent resident
100,Canadian citizen,29.8,Male,Ontario,"University certificate, diploma or degree above the bach...",21 to 30,Canadian citizen
101,Canadian citizen,71,Male,Alberta,Trade certificate or diploma,71 to 80,Canadian citizen
102,Canadian citizen,33,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
103,Canadian citizen,25.3,Male,Quebec,Trade certificate or diploma,21 to 30,Canadian citizen
104,Permanent resident,63.4,Male,British Columbia,"University certificate, diploma or degree above the bach...",61 to 70,Permanent resident
105,Canadian citizen,79,Male,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
106,Canadian citizen,43.3,Male,British Columbia,"NA",41 to 50,Canadian citizen
107,Permanent resident,57.3,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Permanent resident
108,Permanent resident,45.3,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
109,Canadian citizen,55.8,Male,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
110,Other,24.2,Female,Saskatchewan,Trade certificate or diploma,21 to 30,Other
111,Canadian citizen,47.7,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
112,Canadian citizen,41.4,Female,Ontario,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
113,Canadian citizen,64.3,Female,Nova Scotia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
114,Canadian citizen,80,Female,Alberta,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
115,Canadian citizen,29.3,Female,British Columbia,Trade certificate or diploma,21 to 30,Canadian citizen
116,Canadian citizen,79.1,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
117,Canadian citizen,59.3,Male,Alberta,Trade certificate or diploma,51 to 60,Canadian citizen
118,Canadian citizen,47.3,Male,Saskatchewan,Trade certificate or diploma,41 to 50,Canadian citizen
119,Canadian citizen,35.9,Female,Alberta,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
120,Canadian citizen,22.5,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
121,Other,53.8,Female,Saskatchewan,High school diploma or a high school equivalency certificate,51 to 60,Other
122,Permanent resident,51.4,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
123,Canadian citizen,45,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
124,Canadian citizen,72.1,Female,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Canadian citizen
125,Canadian citizen,73,Female,New Brunswick,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
126,Canadian citizen,70.8,Male,British Columbia,Trade certificate or diploma,71 to 80,Canadian citizen
127,Canadian citizen,63.8,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
128,Other,46.8,Male,Quebec,Less than high school diploma or its equivalent,41 to 50,Other
129,Permanent resident,58.1,Female,Ontario,Trade certificate or diploma,51 to 60,Permanent resident
130,Canadian citizen,36.5,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
131,Canadian citizen,60.3,Female,Alberta,Trade certificate or diploma,61 to 70,Canadian citizen
132,Canadian citizen,66.1,Male,Manitoba,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
133,Canadian citizen,78.2,Male,Ontario,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
134,Permanent resident,33.9,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Permanent resident
135,Permanent resident,76.6,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Permanent resident
136,Canadian citizen,74.8,Female,New Brunswick,Trade certificate or diploma,71 to 80,Canadian citizen
137,Permanent resident,70.6,Female,British Columbia,Less than high school diploma or its equivalent,71 to 80,Permanent resident
138,Other,27.8,Male,Quebec,Trade certificate or diploma,21 to 30,Other
139,Canadian citizen,80,Male,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
140,Canadian citizen,39.6,Male,Prince Edward Island,University certificate or diploma below the bachelor's level,31 to 40,Canadian citizen
141,Canadian citizen,30.8,Male,Ontario,University certificate or diploma below the bachelor's level,31 to 40,Canadian citizen
142,Canadian citizen,69.6,Male,Ontario,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
143,Canadian citizen,56.3,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
144,Other,76.8,Female,Ontario,Less than high school diploma or its equivalent,71 to 80,Other
145,Canadian citizen,30.9,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
146,Canadian citizen,80,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
147,Canadian citizen,33.3,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
148,Canadian citizen,63.8,Female,Newfoundland and Labrador,Trade certificate or diploma,61 to 70,Canadian citizen
149,Permanent resident,57,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Permanent resident
150,Canadian citizen,41.3,Female,British Columbia,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
151,Canadian citizen,18.3,Female,Ontario,Less than high school diploma or its equivalent,20 or less,Canadian citizen
152,Canadian citizen,40.4,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
153,Canadian citizen,48.9,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
154,Canadian citizen,65.3,Female,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
155,Canadian citizen,29.7,Male,Prince Edward Island,Trade certificate or diploma,21 to 30,Canadian citizen
156,Canadian citizen,33.1,Male,Alberta,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
157,Canadian citizen,25.8,Female,British Columbia,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
158,Canadian citizen,39.3,Female,British Columbia,Trade certificate or diploma,31 to 40,Canadian citizen
159,Canadian citizen,69.9,Female,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
160,Canadian citizen,67.1,Female,Saskatchewan,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
161,Canadian citizen,31.8,Female,Quebec,Trade certificate or diploma,31 to 40,Canadian citizen
162,Canadian citizen,61.1,Female,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
163,Canadian citizen,65.6,Female,Ontario,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
164,Canadian citizen,59,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
165,Canadian citizen,63.3,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
166,Canadian citizen,43.9,Male,Ontario,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
167,Canadian citizen,51.3,Female,New Brunswick,Trade certificate or diploma,51 to 60,Canadian citizen
168,Canadian citizen,52.9,Female,New Brunswick,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
169,Permanent resident,40.6,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Permanent resident
170,Canadian citizen,76.6,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
171,Canadian citizen,16.7,Female,Alberta,Less than high school diploma or its equivalent,20 or less,Canadian citizen
172,Canadian citizen,62.3,Male,Newfoundland and Labrador,Trade certificate or diploma,61 to 70,Canadian citizen
173,Canadian citizen,57.2,Male,Alberta,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
174,Canadian citizen,80,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
175,Canadian citizen,69.2,Male,British Columbia,Trade certificate or diploma,61 to 70,Canadian citizen
176,Permanent resident,64.9,Female,Nova Scotia,High school diploma or a high school equivalency certificate,61 to 70,Permanent resident
177,Canadian citizen,70.6,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
178,Canadian citizen,73.4,Female,Nova Scotia,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
179,Canadian citizen,80,Male,Ontario,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
180,Canadian citizen,67.4,Female,Saskatchewan,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
181,Canadian citizen,61.8,Female,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
182,Canadian citizen,67.4,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
183,Canadian citizen,47.3,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
184,Canadian citizen,52.6,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
185,Canadian citizen,20.3,Female,Manitoba,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
186,Canadian citizen,31.6,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
187,Canadian citizen,78,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
188,Canadian citizen,24.3,Female,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
189,Canadian citizen,50,Female,Quebec,Trade certificate or diploma,41 to 50,Canadian citizen
190,Canadian citizen,63.1,Male,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
191,Canadian citizen,62,Female,Quebec,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
192,Canadian citizen,36.4,Female,Alberta,Trade certificate or diploma,31 to 40,Canadian citizen
193,Canadian citizen,63.1,Male,Ontario,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
194,Other,68.2,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,61 to 70,Other
195,Canadian citizen,53.5,Male,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
196,Other,51.2,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Other
197,Canadian citizen,68,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
198,Canadian citizen,57.5,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
199,Canadian citizen,51.5,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
200,Canadian citizen,34.9,Male,British Columbia,Less than high school diploma or its equivalent,31 to 40,Canadian citizen
201,Canadian citizen,54.2,Female,Saskatchewan,"NA",51 to 60,Canadian citizen
202,Permanent resident,68,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Permanent resident
203,Canadian citizen,61.7,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
204,Canadian citizen,24.3,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
205,Canadian citizen,71.6,Female,Prince Edward Island,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
206,Canadian citizen,68.3,Male,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
207,Canadian citizen,59.2,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
208,Canadian citizen,41.4,Female,New Brunswick,University certificate or diploma below the bachelor's level,41 to 50,Canadian citizen
209,Canadian citizen,66.8,Female,Alberta,Trade certificate or diploma,61 to 70,Canadian citizen
210,Canadian citizen,56.2,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
211,Permanent resident,69.3,Male,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Permanent resident
212,Canadian citizen,76.6,Male,British Columbia,"University certificate, diploma or degree above the bach...",71 to 80,Canadian citizen
213,Canadian citizen,53.7,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
214,Canadian citizen,76,Female,Prince Edward Island,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
215,Other,33,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Other
216,Canadian citizen,30.6,Female,Saskatchewan,Trade certificate or diploma,31 to 40,Canadian citizen
217,Canadian citizen,53.9,Female,British Columbia,Trade certificate or diploma,51 to 60,Canadian citizen
218,Canadian citizen,53.3,Male,Ontario,Trade certificate or diploma,51 to 60,Canadian citizen
219,Canadian citizen,70.5,Male,Ontario,Trade certificate or diploma,71 to 80,Canadian citizen
220,Canadian citizen,65.3,Male,Quebec,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
221,Canadian citizen,72.5,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
222,Canadian citizen,37,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
223,Canadian citizen,31.2,Male,Quebec,Trade certificate or diploma,31 to 40,Canadian citizen
224,Canadian citizen,53.7,Female,Alberta,Trade certificate or diploma,51 to 60,Canadian citizen
225,Permanent resident,80,Male,Ontario,Less than high school diploma or its equivalent,71 to 80,Permanent resident
226,Canadian citizen,61.8,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
227,Canadian citizen,45.8,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",41 to 50,Canadian citizen
228,Permanent resident,65.1,Female,Ontario,"NA",61 to 70,Permanent resident
229,Permanent resident,52.3,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Permanent resident
230,Canadian citizen,32.3,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
231,Canadian citizen,66.8,Female,Quebec,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
232,Canadian citizen,65.6,Male,British Columbia,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
233,Canadian citizen,63.8,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
234,Canadian citizen,80,Male,Ontario,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
235,Canadian citizen,67.8,Female,Nova Scotia,Trade certificate or diploma,61 to 70,Canadian citizen
236,Canadian citizen,66.8,Male,Saskatchewan,Trade certificate or diploma,61 to 70,Canadian citizen
237,Canadian citizen,61.9,Female,British Columbia,Trade certificate or diploma,61 to 70,Canadian citizen
238,Permanent resident,71.3,Female,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Permanent resident
239,Canadian citizen,40.4,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
240,Canadian citizen,26,Female,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
241,Canadian citizen,57.3,Male,Alberta,Trade certificate or diploma,51 to 60,Canadian citizen
242,Canadian citizen,35.9,Male,Saskatchewan,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
243,Canadian citizen,63.1,Male,Alberta,Trade certificate or diploma,61 to 70,Canadian citizen
244,Canadian citizen,38.8,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
245,Permanent resident,75,Male,Prince Edward Island,Less than high school diploma or its equivalent,71 to 80,Permanent resident
246,Canadian citizen,63.3,Male,Quebec,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
247,Canadian citizen,65.5,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
248,Canadian citizen,19.5,Female,Alberta,High school diploma or a high school equivalency certificate,20 or less,Canadian citizen
249,Canadian citizen,72.3,Female,New Brunswick,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
250,Canadian citizen,27.8,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
251,Permanent resident,45.2,Male,Ontario,Trade certificate or diploma,41 to 50,Permanent resident
252,Canadian citizen,62.6,Female,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
253,Permanent resident,28.5,Female,Quebec,"University certificate, diploma or degree above the bach...",21 to 30,Permanent resident
254,Canadian citizen,56.7,Female,Saskatchewan,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
255,Canadian citizen,58.3,Female,Manitoba,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
256,Canadian citizen,60.8,Female,Alberta,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
